"Game","Developer","Publisher","Release date","Sales","Platform","Genre","","","","","","",""
"Super Mario World ","Nintendo EAD","Nintendo","November 21, 1990","20610000","Nintendo Entertainment System (NES)","","","","","","","",""
"Super Mario All-Stars ","Nintendo EAD","Nintendo","July 14, 1993","10550000","Nintendo Entertainment System (NES)","","","","","","","",""
"Donkey Kong Country ","Rare","Nintendo","November 21, 1994","9300000","Nintendo Entertainment System (NES)","","","","","","","",""
"Super Mario Kart ","Nintendo EAD","Nintendo","August 27, 1992","8760000","Nintendo Entertainment System (NES)","","","","","","","",""
"Street Fighter II: The World Warrior ","Capcom","Capcom","June 10, 1992","6300000","Nintendo Entertainment System (NES)","","","","","","","",""
"Donkey Kong Country 2: Diddy's Kong Quest","Rare","Nintendo","November 20, 1995","5150000","Nintendo Entertainment System (NES)","","","","","","","",""
"The Legend of Zelda: A Link to the Past ","Nintendo EAD","Nintendo","November 21, 1991","4610000","Nintendo Entertainment System (NES)","","","","","","","",""
"Super Mario World 2: Yoshi's Island ","Nintendo EAD","Nintendo","August 5, 1995","4120000","Nintendo Entertainment System (NES)","","","","","","","",""
"Street Fighter II: Hyper Fighting","Capcom","Capcom","July 11, 1993","4100000","Nintendo Entertainment System (NES)","","","","","","","",""
"Star Fox ","Nintendo EAD, Argonaut Software","Nintendo","February 21, 1993","4000000","Nintendo Entertainment System (NES)","","","","","","","",""
"Donkey Kong Country 3: Dixie Kong's Double Trouble!","Rare","Nintendo","November 22, 1996","3510000","Nintendo Entertainment System (NES)","","","","","","","",""
"Final Fantasy VI","Square","Square","April 2, 1994","3420000","Nintendo Entertainment System (NES)","","","","","","","",""
"Killer Instinct ","Rare","Nintendo","August 30, 1995","3200000","Nintendo Entertainment System (NES)","","","","","","","",""
"Dragon Quest VI","Heartbeat","Enix","December 9, 1995","3200000","Nintendo Entertainment System (NES)","","","","","","","",""
"F-Zero ","Nintendo EAD","Nintendo","November 21, 1990","2850000","Nintendo Entertainment System (NES)","","","","","","","",""
"Dragon Quest V","Chunsoft","Enix","September 27, 1992","2800000","Nintendo Entertainment System (NES)","","","","","","","",""
"Final Fantasy V","Square","Square","December 6, 1992","2450000","Nintendo Entertainment System (NES)","","","","","","","",""
"Mario Paint ","Nintendo R&D1","Nintendo","July 14, 1992","2310000","Nintendo Entertainment System (NES)","","","","","","","",""
"Super Mario RPG","Square","Nintendo","March 9, 1996","2140000","Nintendo Entertainment System (NES)","","","","","","","",""
"Chrono Trigger","Square","Square","March 11, 1995","2030000","Nintendo Entertainment System (NES)","","","","","","","",""
"Pilotwings","Nintendo EAD","Nintendo","December 21, 1990","2000000","Nintendo Entertainment System (NES)","","","","","","","",""
"Super Street Fighter II","Capcom","Capcom","June 25, 1994","2000000","Nintendo Entertainment System (NES)","","","","","","","",""
"SimCity","Nintendo EAD","Nintendo","April 26, 1991","1980000","Nintendo Entertainment System (NES)","","","","","","","",""
"Secret of Mana","Square","Square","August 6, 1993","1830000","Nintendo Entertainment System (NES)","","","","","","","",""
"Final Fantasy IV","Square","Square","July 19, 1991","1800000","Nintendo Entertainment System (NES)","","","","","","","",""
